player_name,Unnamed: 0,team_id,player_id,playing_time,goals,assists,own_goals,total_shots,shots_on_target,rfoot_shots,lfoot_shots,header_shots,fouls,offsides,yellow_cards,red_cards,total_passes,acc_passes,pass_accuracy,key_passes,interceptions,tackle,tackle_accuracy,clearances,successful_tackles,total_saves,successful_saves,save_rate
P. Aquino,1861,46782,417234,9247.1,0,0,0,1,0,1,0,0,5,0,1,0,98,88,2.76,1,11,31,2.07,6,18,0,0,0
P. Dybala,638,12274,89186,1615.3,0,0,0,1,0,0,1,0,0,0,0,0,11,8,0.73,0,0,5,1.0,0,5,0,0,0
P. Gallese,1848,46782,344394,17346.5,0,0,0,0,0,0,0,0,0,0,0,0,48,40,2.5300000000000002,0,5,0,0.0,0,0,9,7,0
P. Guerrero,1825,46782,44727,13467.9,1,1,0,6,5,2,2,2,4,3,1,0,41,29,2.33,0,4,34,2.17,3,23,0,0,0
P. Hurtado,1045,15594,114624,1911.4,0,0,0,0,0,0,0,0,2,0,1,0,18,15,0.83,0,1,11,0.64,0,7,0,0,0
P. Jansson,315,7047,50806,5775.2,0,0,0,1,0,0,0,1,2,0,0,0,48,47,0.98,0,1,2,1.0,2,2,0,0,0
P. Kimpembe,1011,4418,231138,5692.6,0,0,0,0,0,0,0,0,1,0,0,0,75,70,0.93,0,7,7,0.86,5,6,0,0,0
P. Pogba,702,8836,15872,11194.9,0,0,0,3,1,3,0,0,3,0,1,0,118,99,1.6800000000000002,3,3,31,1.35,2,21,0,0,0
P. Sisto,1778,23136,725835,13459.2,0,0,0,4,1,2,2,0,1,0,1,0,80,66,2.23,0,6,52,2.19,0,37,0,0,0
P. Zieliński,1317,27738,199804,11708.4,0,0,0,2,0,1,1,0,1,0,0,0,119,98,1.64,1,2,20,1.29,0,13,0,0,0
Paulinho,932,12760,81100,8184.200000000001,0,0,0,1,0,0,1,0,1,0,0,0,63,60,1.8900000000000001,0,3,13,1.69,0,11,0,0,0
Pepe,1519,29715,9915,17672.4,0,0,0,0,0,0,0,0,3,0,0,0,122,102,2.46,0,14,20,1.78,9,12,0,0,0
Philippe Coutinho,925,12760,7604,11850.2,2,0,0,10,4,10,0,0,3,0,1,0,160,146,1.82,2,7,20,1.2599999999999998,0,13,0,0,0
Piqué,1595,4794,10023,17494.9,0,0,0,4,1,2,0,2,2,0,0,0,217,203,2.81,0,10,10,2.0,4,5,0,0,0
R. Avila,833,17929,361536,1941.0,0,1,0,0,0,0,0,0,1,0,0,0,18,16,0.89,0,0,8,0.62,0,5,0,0,0
R. Bentancur,1474,47010,1085421,15451.0,0,0,0,2,1,1,1,0,6,0,1,0,187,170,2.7,1,13,45,1.7,3,24,0,0,0
R. Cheshmi,68,10840,272829,5882.9,0,0,0,1,0,1,0,0,0,0,0,0,12,11,0.92,0,5,5,0.4,4,2,0,0,0
R. Falcao,1254,24860,6900,10628.4,1,0,0,4,3,3,1,0,2,1,0,0,46,38,1.6600000000000001,0,3,47,1.3199999999999998,3,31,0,0,0
R. Gíslason,823,15678,112292,7872.8,0,0,0,1,0,1,0,0,2,0,0,0,28,21,1.72,0,3,20,1.25,1,12,0,0,0
R. Jiménez,273,15473,112392,1688.6,0,0,0,0,0,0,0,0,1,0,0,0,8,4,0.5,0,1,2,0.5,0,1,0,0,0
R. Kruse,1733,25479,48453,12668.7,0,0,0,1,0,1,0,0,2,2,0,0,52,39,2.25,0,6,26,1.83,0,17,0,0,0
R. Lewandowski,1301,27738,29634,11708.4,0,0,0,6,3,2,2,2,4,1,0,0,45,37,1.69,0,4,38,1.27,1,24,0,0,0
R. Loftus-Cheek,1195,4826,471110,6740.1,0,1,0,1,0,0,1,0,2,0,1,0,38,34,1.6099999999999999,0,2,22,1.3900000000000001,0,14,0,0,0
R. Lukaku,1068,11258,15810,9430.3,4,0,0,5,4,1,3,1,3,0,0,0,30,21,1.4,0,0,13,1.54,0,10,0,0,0
R. Márquez,1042,30946,118006,2896.1,0,0,0,0,0,0,0,0,0,0,0,0,27,24,1.73,0,5,8,0.9299999999999999,2,4,0,0,0
R. Olsen,1113,14094,101596,11717.9,0,0,0,0,0,0,0,0,0,0,0,0,29,22,1.54,0,2,0,0.0,1,0,6,4,0
R. Rezaeian,1570,32520,237294,17744.5,0,0,0,1,0,1,0,0,4,0,0,0,73,50,2.03,2,10,28,1.62,7,16,0,0,0
R. Rodríguez,991,13394,29844,11769.4,0,0,0,2,0,1,1,0,2,0,0,0,71,60,1.69,0,10,32,1.12,3,17,0,0,0
R. Ruidíaz,789,31188,179142,1453.0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2.0,0,1,2,0.0,0,0,0,0,0
R. Saïss,1067,32432,52452,11792.8,0,0,0,1,0,0,0,1,2,0,0,0,90,82,1.81,0,15,11,1.3199999999999998,10,7,0,0,0
R. Sigurðsson,1883,23517,167949,14058.8,0,0,0,0,0,0,0,0,3,0,0,0,49,39,2.38,0,16,16,1.62,7,8,0,0,0
R. Sterling,1191,4826,22132,10068.400000000001,0,1,0,2,1,1,0,1,6,2,0,0,49,44,1.72,0,3,25,0.8700000000000001,0,12,0,0,0
R. Tapia,1247,31188,278150,9119.400000000001,0,0,0,1,0,1,0,0,3,0,1,0,51,40,1.58,0,11,19,0.89,4,8,0,0,0
R. Torres,1177,35858,182526,11612.7,0,0,0,3,0,2,0,1,1,0,0,0,57,51,1.7799999999999998,0,10,6,1.5,6,4,0,0,0
R. Varane,1699,13254,9927,17274.5,0,0,0,2,0,0,0,2,1,0,0,0,192,176,2.73,0,10,11,2.5,7,10,0,0,0
R. Zobnin,1371,43074,311046,17250.6,0,0,0,5,1,3,1,1,3,0,0,0,118,94,2.33,0,21,42,2.23,5,31,0,0,0
Ramadan Sobhi,1455,48387,997815,4458.7,0,0,0,0,0,0,0,0,1,0,0,0,26,21,2.39,0,0,11,3.0,0,11,0,0,0
Raphaël Guerreiro,1528,29715,86721,17672.4,0,0,0,2,0,0,2,0,5,0,1,0,149,128,2.58,1,13,39,1.96,3,25,0,0,0
Renato Augusto,283,6380,14785,1802.0,0,0,0,1,0,0,1,0,0,0,0,0,15,13,0.87,1,0,5,0.8,0,4,0,0,0
Ricardo Quaresma,1052,19810,65194,5940.400000000001,1,0,0,4,1,4,0,0,3,0,1,0,37,24,1.32,0,1,22,1.58,0,17,0,0,0
